pageid,fileNameAbsolut,fileNameRelative,fileLastModifiedTime,fileCreationTime,fileSizeInBytes,level,keywords,categories,description,categoriesList,section,sectionPathAbsoulte,sectionPathRelative,webadress,vorgelagerteSectionPage,nachgelagerteSectionPage,sectionIndex
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/08_ConvertDataToWokringFile.md,/Docus/DataScience/Checklist/02_GetTheData/08_ConvertDataToWokringFile.md,Thu Nov  5 09:49:53 2020,Thu Nov  5 09:47:14 2020,0,8,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/08_ConvertDataToWokringFile.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/09_SensbileDaten.md,/Docus/DataScience/Checklist/02_GetTheData/09_SensbileDaten.md,Thu Nov  5 09:50:15 2020,Thu Nov  5 09:47:15 2020,0,9,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/09_SensbileDaten.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/10_CheckSizeAndType.md,/Docus/DataScience/Checklist/02_GetTheData/10_CheckSizeAndType.md,Thu Nov  5 09:50:52 2020,Thu Nov  5 09:47:15 2020,0,10,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/10_CheckSizeAndType.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/11_SampleTestTrainValidation.md,/Docus/DataScience/Checklist/02_GetTheData/11_SampleTestTrainValidation.md,Thu Nov  5 09:52:08 2020,Thu Nov  5 09:47:15 2020,0,11,[''],[''],,"['Docus', 'DataScience', 'Checklist', '02_GetTheData']",02_GetTheData,C:/DocTool/content/Docus/DataScience/Checklist/02_GetTheData/,/Docus/DataScience/Checklist/02_GetTheData/,https://jhc90.github.io/Docus/DataScience/Checklist/02_GetTheData/11_SampleTestTrainValidation.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/interim.md,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/interim.md,Thu Nov  5 10:42:27 2020,Wed Nov  4 16:56:33 2020,48,0,[''],[''],,"['Docus', 'DataScience', 'Praxis', 'Beispiel-Projekte-handsonml']",Beispiel-Projekte-handsonml,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/,https://jhc90.github.io/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/interim.html,,07112020200718JupyterML,https://jhc90.github.io/index.html
07112020200718JupyterML,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/01_the_machine_learning_landscape.md,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/01_the_machine_learning_landscape.md,Mon Nov  9 13:04:08 2020,Sat Nov  7 08:35:45 2020,485055,1,['Basic-Notebook'],['Jupyter-Notebook'],Hier die individuelle Beschreibung der Index-Seite aus dem Frontmatter,"['Docus', 'DataScience', 'Praxis', 'Beispiel-Projekte-handsonml']",Beispiel-Projekte-handsonml,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/,https://jhc90.github.io/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/01_the_machine_learning_landscape.html,,07112020200718JupyterML,https://jhc90.github.io/index.html
07112020200718JupyterML,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/02_California_Housing_Regression.md,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/02_California_Housing_Regression.md,Mon Nov  9 13:04:21 2020,Sat Nov  7 08:35:50 2020,67102677,2,"['Regression', ' EDA', ' ']",[''],Hier die individuelle Beschreibung der Index-Seite aus dem Frontmatter,"['Docus', 'DataScience', 'Praxis', 'Beispiel-Projekte-handsonml']",Beispiel-Projekte-handsonml,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/,https://jhc90.github.io/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/02_California_Housing_Regression.html,07112020200718JupyterML,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/.ipynb_checkpoints/01_the_machine_learning_landscape-checkpoint.md,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/.ipynb_checkpoints/01_the_machine_learning_landscape-checkpoint.md,Mon Nov  9 13:04:23 2020,Tue Nov  3 05:19:38 2020,390155,0,[''],[''],,"['Docus', 'DataScience', 'Praxis', 'Beispiel-Projekte-handsonml', '.ipynb_checkpoints']",.ipynb_checkpoints,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/.ipynb_checkpoints/,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/.ipynb_checkpoints/,https://jhc90.github.io/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/.ipynb_checkpoints/01_the_machine_learning_landscape-checkpoint.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/.ipynb_checkpoints/02_California_Housing_Regression-checkpoint.md,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/.ipynb_checkpoints/02_California_Housing_Regression-checkpoint.md,Mon Nov  9 13:04:26 2020,Sat Nov  7 08:35:58 2020,1681668,1,[''],[''],,"['Docus', 'DataScience', 'Praxis', 'Beispiel-Projekte-handsonml', '.ipynb_checkpoints']",.ipynb_checkpoints,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/.ipynb_checkpoints/,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/.ipynb_checkpoints/,https://jhc90.github.io/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/.ipynb_checkpoints/02_California_Housing_Regression-checkpoint.html,,,https://jhc90.github.io/index.html
,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/datasets/housing/README.md,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/datasets/housing/README.md,Tue Nov  3 05:19:38 2020,Tue Nov  3 05:19:38 2020,3680,0,[''],[''],,"['Docus', 'DataScience', 'Praxis', 'Beispiel-Projekte-handsonml', 'datasets', 'housing']",housing,C:/DocTool/content/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/datasets/housing/,/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/datasets/housing/,https://jhc90.github.io/Docus/DataScience/Praxis/Beispiel-Projekte-handsonml/datasets/housing/README.html,,,https://jhc90.github.io/index.html
